x_position,wind_velocity_x,wind_velocity_y,wind_velocity_z
150,-8.573027,-0.10443649,-1.3504013
155,-8.265578,0.035046518,-1.0850648
160,-7.9486217,0.1886391,-0.72488683
165,-7.6778536,0.34470147,-0.26355985
170,-7.496875,0.48297247,0.17412731
175,-7.498257,0.5632994,0.49328434
180,-7.7293262,0.5016093,0.6613062
185,-8.159961,0.2062025,0.7746502
190,-8.599988,-0.31334174,0.9032033
195,-8.891354,-0.83650506,1.008452
200,-8.977505,-1.1337126,1.0706494
205,-8.991817,-1.2107638,1.0553193
210,-8.969875,-1.1656095,0.9517584
215,-8.95191,-1.0976146,0.81951237
220,-8.942268,-1.0346755,0.7401773
225,-8.899637,-0.98470014,0.75938016
230,-8.76573,-0.992617,0.8810394
235,-8.5517645,-0.9890969,1.1194534
240,-8.286831,-0.9366329,1.4541256
245,-7.952453,-0.8794924,1.8462472
250,-7.621205,-0.8888737,1.9982988
255,-7.1136637,-0.925887,2.050655
260,-6.676152,-0.9476819,1.8328067
265,-6.323741,-0.9682857,1.405915
270,-6.027132,-0.99878967,0.8119657
275,-5.739319,-0.97945505,0.24032485
280,-5.4542193,-0.87530214,-0.31551272
285,-5.1095667,-0.72255075,-0.92540634
290,-4.5767984,-0.50170386,-1.6966679
295,-4.117376,-0.815348,-2.1739001
300,-4.087014,-1.8313664,-1.9444606
305,-4.1854877,-2.4611125,-1.6559436
310,-4.1289387,-2.3062098,-1.5277498
315,-4.078283,-1.9312522,-1.2963588
320,-4.274838,-1.6597952,-0.88278615
325,-4.7743225,-1.7195817,-0.29375297
330,-5.427447,-1.968478,0.22615445
335,-6.07671,-1.9304571,0.48591378
340,-6.645355,-1.6195475,0.64821804
345,-7.021001,-1.178845,0.833282
350,-7.185216,-0.6617379,0.9735116
355,-7.183173,-0.15548325,0.9808158
360,-7.1360326,0.33185083,0.96077275
365,-7.043552,0.7173433,0.84439313
370,-6.900757,0.99526507,0.74476755
375,-6.7181196,1.1380292,0.71180433
380,-6.4996033,1.1573238,0.7411754
385,-6.2609377,1.0920593,0.7830727
390,-6.026849,0.9702972,0.80531037
395,-5.829556,0.79810774,0.8002751
400,-5.690452,0.56740814,0.7807906
405,-5.6199446,0.2610785,0.7587135
410,-5.6038327,-0.11957955,0.7336675
415,-5.6180525,-0.5434979,0.7055963
420,-5.6445637,-0.958505,0.68443924
425,-5.6816874,-1.303262,0.6788899
430,-5.732204,-1.54796,0.6903569
435,-5.7946324,-1.6882069,0.72014666
440,-5.8716145,-1.7316811,0.7738292
445,-5.956616,-1.703278,0.846745
450,-6.047769,-1.6500287,0.9312576
