x_position,total_body_moment_x,total_body_moment_y,total_body_moment_z
150,-717.4224082667835,-79.35207874571277,-1240.1655676304522
155,-720.8855401276878,-68.67885225601447,-1260.8714039027052
160,-719.3788292368247,-55.22961890586699,-1279.6479960521629
165,-721.7124487839294,-51.29017656563276,-1301.868543956474
170,-731.7689771406199,-46.776176553952006,-1334.9715806312652
175,-745.7027989885454,-36.084366430421554,-1372.313644571093
180,-760.8860119199248,-23.83622200952935,-1404.4148387309351
185,-774.0101418773393,-15.406000504789915,-1427.1153831529414
190,-783.2467164217601,-26.088226282741655,-1441.948832780634
195,-792.1918769468334,-61.434068536125736,-1455.7214900661181
200,-798.4889397688305,-104.3317599542531,-1468.7032459398297
205,-793.799669757734,-136.77211002602627,-1478.188234487603
210,-781.8124731589992,-146.78889662682414,-1481.0130334596156
215,-771.1016226710256,-139.57993201774235,-1477.0404457310167
220,-766.422819109693,-129.81680313263124,-1468.0619935865168
225,-768.7694231690328,-127.70110748555567,-1458.7033404479237
230,-776.2260223216947,-134.65458057590723,-1455.5744280177857
235,-785.4596080720645,-145.02273792339062,-1462.0119335090064
240,-788.0981467880227,-156.97260840553645,-1476.9747392704692
245,-782.4508626725769,-164.31404290707442,-1498.5504044506574
250,-771.689376711974,-162.89345276270927,-1524.0175514016503
255,-747.2584873952891,-139.17469250044184,-1546.8300337270214
260,-709.1460427656914,-115.50922112222798,-1553.3249454952118
265,-645.9751622482514,-88.65279325075512,-1544.9798861472086
270,-577.6250986030971,-65.38196932687705,-1519.1696843522293
275,-507.0929847823108,-47.69682238813497,-1476.997996656313
280,-445.2247411006352,-56.62440417783726,-1426.4507634495862
285,-414.82254930131495,-56.36321483368182,-1376.665659822853
290,-392.5318280892384,-33.32209060771133,-1323.561662030862
295,-347.5025537064772,15.14302963591544,-1260.3707608177506
300,-309.22633320941856,-9.26343209718091,-1201.8525038980142
305,-351.91304085915255,-149.02732647347779,-1189.9378718706018
310,-385.0156750647504,-235.6389922633338,-1212.544732766811
315,-371.1066380842876,-241.22447042643313,-1228.9655499367182
320,-381.04351789261466,-235.1712253489942,-1244.5900135656843
325,-439.0183527636113,-250.60066191982548,-1276.3765640056185
330,-532.0989349806331,-283.45481818186136,-1329.198490999066
335,-622.8835471418784,-298.9873544414363,-1387.078955501654
340,-681.2997394394654,-283.0289804164929,-1425.5352615104264
345,-721.9958467834368,-253.31384997417294,-1445.2576224480456
350,-755.7071860789594,-215.48046593417544,-1460.907592036418
355,-778.098631067058,-163.33478098809874,-1474.1509876676378
360,-779.3062058495001,-96.4902959655122,-1481.2257587620513
365,-757.9420141804479,-57.33954580408799,-1476.887094943029
370,-744.0879025161227,14.374775856108506,-1473.7416566714082
375,-716.850544532912,53.381082253909014,-1464.0385465664701
380,-689.1288202163079,75.36455362871493,-1456.8786124564995
385,-662.4478697923269,84.40938992831991,-1454.3417228641792
390,-636.2963991670491,86.37819526118884,-1455.3352698842568
395,-612.5568046989423,83.53505517340227,-1456.8592590954704
400,-594.9314170404764,75.68898285588952,-1456.999635622097
405,-586.4623794465458,60.92184400299769,-1455.8332277591173
410,-587.1655934376358,37.621580368492765,-1454.406888906806
415,-593.5399929403418,5.950812550709916,-1453.1814554615562
420,-602.7314729752281,-32.849833162377706,-1451.9884140204438
425,-612.6218654833941,-75.78613428816806,-1450.9847759314316
430,-622.1695231820247,-116.81525853597438,-1450.8183590027597
435,-629.5338890358029,-150.23340793886746,-1451.6536638676744
440,-632.9434217187555,-174.3630761316672,-1453.6988144480422
445,-631.5227079745387,-189.2315996244263,-1457.087806630101
450,-626.7376916827355,-195.68280501181533,-1461.9197878326363
