Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ,Time_is_whole
1.0,41.56273630605761,-1339.4595850786363,1.923850285484049,1
2.0,39.658790734034135,-1356.022777637549,3.556814431343025,2
3.0,38.98453452103741,-1367.1168298730022,4.217064015916943,3
4.0,39.204463367829945,-1369.529037865348,4.077487884862023,4
5.0,40.005554662662426,-1365.3878644347867,3.410206078806532,5
6.0,41.11102377161264,-1362.307397229833,2.538366628172266,6
7.0,42.28520483454951,-1370.6214625322093,1.7711746624475762,7
8.0,43.33954622082313,-1395.225678800991,1.295388302332622,8
9.0,44.15267274461984,-1426.2148389748431,1.0683747888252206,9
17.0,45.16249549740371,-1501.841897946436,1.1981123733073318,17
18.0,45.02782475249087,-1532.088228256797,1.6355059642494894,18
19.0,44.85751040134529,-1562.80925239953,2.105979494942652,19
20.0,44.682810683945696,-1585.610626258659,2.4926657707409063,20
21.0,44.54635213699999,-1597.3498521980546,2.7275706565530413,21
22.0,44.479412476052026,-1598.8629678945272,2.7952429747909626,22
23.0,44.492271153605046,-1586.1060855691564,2.641588311027838,23
24.0,44.59303110588414,-1561.7555579010366,2.291136313134721,24
25.0,44.76989698506723,-1521.3263229012257,1.703823376317111,25
