RotorSpeed_rads,AeroTorque_Nm,Predicted_WindZ
45.0,-1319.3412513992969,-0.7567378538012619
41.56273630605761,-1340.2829989943064,1.9261825910231565
39.658790734034135,-1356.6741477460912,3.5610142707668757
38.98453452103741,-1367.570668990459,4.223055547197244
39.204463367829945,-1369.735981941389,4.078523216865094
40.005554662662426,-1365.3984669355154,3.4042409001908585
41.11102377161264,-1362.2697989168637,2.5290747261061615
42.28520483454951,-1370.7322617340446,1.7632373862525146
43.33954622082313,-1395.5891507326296,1.290965378203774
44.15267274461984,-1426.6809708093574,1.066412164318363
44.699461591499706,-1453.0003703765933,0.9756228159199143
45.022476306609136,-1469.2896173769698,0.92924557059197
45.188634081149935,-1475.2070960918222,0.8773419640536737
45.26044958160213,-1470.3014442630415,0.7710239209828345
45.29037075461807,-1463.755789795888,0.6761944868221086
45.29340041857297,-1467.411864015636,0.7151289590753009
45.25197954940295,-1480.193910262797,0.8882249288341146
45.16249549740371,-1502.2157157197337,1.1997406137105049
45.02782475249087,-1532.6119160112978,1.6387292548383687
44.85751040134529,-1563.3480366884028,2.10899457517848
44.682810683945696,-1586.0202297508206,2.4935004481006224
44.54635213699999,-1597.5732456689125,2.725495399025224
44.479412476052026,-1598.9097463616831,2.7906290925055384
44.492271153605046,-1585.9031962439533,2.6338908432102617
44.59303110588414,-1561.3461377382505,2.281320164353982
44.76989698506723,-1520.6316654904342,1.6912860574408715
45.0181012695712,-1470.1255641853909,0.9418073126570619
45.30952767332382,-1423.7232225686237,0.21222464888560744
45.5847249399915,-1393.559312267938,-0.3188869461014896
45.77593669507254,-1367.4824511249683,-0.7433007399329341
45.8801865108784,-1334.164132143247,-1.188209938221103
45.93407682634164,-1309.8378466556069,-1.4977780253497563
45.925293581184015,-1300.5623936557631,-1.5961506658197067
45.83767624397854,-1297.585230853552,-1.570916168615165
45.692278744883325,-1298.898933570795,-1.45845317916271
45.51474338548306,-1300.7516242863187,-1.3179021472769659
45.335324850080895,-1297.5128897809795,-1.2334472470489786
45.18834979119377,-1292.7754190664414,-1.1879285376310182
45.0828799321837,-1298.1253618098613,-1.055392227304953
44.9902826611861,-1313.358214730766,-0.8183950610600004
44.89126012046312,-1328.4448680945331,-0.5781823879105037
44.7998148913525,-1341.5183971172078,-0.3657003689022389
44.728762051984056,-1360.325919132597,-0.10137931911728693
44.66440326931299,-1378.9267875194516,0.1562015392465277
44.61245011196732,-1393.287635867317,0.3568389140715791
44.5856017398394,-1402.9902349158383,0.4866616855209891
44.59038148128978,-1407.1336408374527,0.5306205474708339
44.62971673843747,-1406.6135346996225,0.49686868630801584
44.69920949542482,-1402.96534650279,0.40618707233796414
44.78860065830908,-1395.8522698452089,0.2621997178422273
44.88979412923907,-1384.9807336829658,0.06750723483672871
44.996868926185456,-1371.5914743033145,-0.15942009020521297
45.10199210750006,-1358.7640794770978,-0.37804571761090777
45.19227106760837,-1348.8989308996536,-0.55230864752148
45.25480653759872,-1342.2055636474252,-0.6712119144688664
45.283814768313,-1338.6507519861675,-0.7314100529055594
45.27941627713128,-1338.9815272173116,-0.7246461777439901
45.24355914317101,-1344.0977352079651,-0.6420318194355481
45.1787991547378,-1353.9828534514827,-0.48533899476862885
45.0901441717879,-1368.906833085859,-0.25466827133239
44.98307042402785,-1383.858351223065,-0.0103940429755216
