AngleDegrees,Fx,Fy,Fz,Qx,Qy,Qz
-20,54.28046908226743,-2.8172189251056103,3605.9312387188997,464.64042503765836,20.181884411645285,-1205.653273590856
-15,57.48084866751759,-3.111393542160705,3743.0491342558057,490.0663195712687,21.172761047244002,-1250.41528975512
-10,60.36313982835509,-3.397157409451038,3882.4781608837197,512.6448515235809,22.032783476195,-1295.971253091547
-5,62.86768872669251,-3.6675113550461,4023.1024801737512,531.9254013650252,22.745838109086478,-1341.9589080779845
0,64.93523524386568,-3.9152561350546584,4163.818357278434,547.4641104955266,23.296300455687515,-1388.0187395468113
5,66.5085854118661,-4.133203451779272,4303.543578866467,558.8362871772902,23.669463889130554,-1433.7969981136912
10,67.53430639530603,-4.314391784209871,4441.2260321731355,565.6489495002737,23.851971134332555,-1478.948489844434
15,67.96439284889438,-4.452300492611278,4575.851369460221,567.5531270167335,23.832235487034147,-1523.1391059688226
20,67.75785369304802,-4.5410556720897235,4706.449709968667,564.2555445178783,23.600838847997668,-1566.0480763488438
