AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
0.0,65.60229367620171,-3.784999476725064,4160.686306031525,548.3932281392534,21.870485669797002,-1387.128520147821
36.0,63.16532571197623,-1.7553549869720357,4208.922994567156,534.4716441407833,36.767622670422604,-1402.9273538490581
72.0,62.40251338382179,-5.287742601630217,4238.659210419759,528.2503166784915,15.206575257244294,-1412.669191555873
108.0,66.05022400369158,-5.232491297929438,4238.659210419755,551.4253888375637,13.8273280905364,-1412.6691915558724
144.0,64.56065431911941,-1.734220162229461,4208.922994567164,543.3366130284221,36.240030646768226,-1402.9273538490613
180.0,61.08285783610053,-3.853454666329974,4160.6863060315245,519.679806865647,23.579343561171253,-1387.1285201478208
216.0,63.45983342540651,-5.879481928658362,4112.3379913109775,533.0955996392408,8.660683570922581,-1371.2979590617445
252.0,64.1255961103151,-2.3412427264971982,4082.4213097700863,538.4987088196842,30.1869132516282,-1361.5048277955657
288.0,60.47788549044596,-2.3964940301949618,4082.421309770077,515.323636660623,31.56616041837695,-1361.5048277955623
324.0,62.06450481826873,-5.900616753398016,4112.337991310975,524.230630751664,9.188275594636043,-1371.2979590617433
